anticorrelated,correlated,normal,uniform,dims,n_samples,time
1.0,0.0,0.0,0.0,2.0,100.0,19.0
1.0,0.0,0.0,0.0,2.0,1000.0,17.0
1.0,0.0,0.0,0.0,2.0,10000.0,26.0
1.0,0.0,0.0,0.0,2.0,100000.0,594.0
1.0,0.0,0.0,0.0,3.0,100.0,23.0
1.0,0.0,0.0,0.0,3.0,1000.0,34.0
1.0,0.0,0.0,0.0,3.0,10000.0,42.0
1.0,0.0,0.0,0.0,3.0,100000.0,573.0
1.0,0.0,0.0,0.0,4.0,100.0,13.0
1.0,0.0,0.0,0.0,4.0,1000.0,27.0
1.0,0.0,0.0,0.0,4.0,10000.0,43.0
1.0,0.0,0.0,0.0,4.0,100000.0,654.0
1.0,0.0,0.0,0.0,5.0,100.0,13.0
1.0,0.0,0.0,0.0,5.0,1000.0,27.0
1.0,0.0,0.0,0.0,5.0,10000.0,55.0
1.0,0.0,0.0,0.0,5.0,100000.0,722.0
0.0,1.0,0.0,0.0,2.0,100.0,9.0
0.0,1.0,0.0,0.0,2.0,1000.0,16.0
0.0,1.0,0.0,0.0,2.0,10000.0,20.0
0.0,1.0,0.0,0.0,2.0,100000.0,22.0
0.0,1.0,0.0,0.0,3.0,100.0,10.0
0.0,1.0,0.0,0.0,3.0,1000.0,20.0
0.0,1.0,0.0,0.0,3.0,10000.0,21.0
0.0,1.0,0.0,0.0,3.0,100000.0,24.0
0.0,1.0,0.0,0.0,4.0,100.0,10.0
0.0,1.0,0.0,0.0,4.0,1000.0,20.0
0.0,1.0,0.0,0.0,4.0,10000.0,23.0
0.0,1.0,0.0,0.0,4.0,100000.0,26.0
0.0,1.0,0.0,0.0,5.0,100.0,10.0
0.0,1.0,0.0,0.0,5.0,1000.0,21.0
0.0,1.0,0.0,0.0,5.0,10000.0,26.0
0.0,1.0,0.0,0.0,5.0,100000.0,33.0
0.0,0.0,1.0,0.0,2.0,100.0,9.0
0.0,0.0,1.0,0.0,2.0,1000.0,17.0
0.0,0.0,1.0,0.0,2.0,10000.0,20.0
0.0,0.0,1.0,0.0,2.0,100000.0,23.0
0.0,0.0,1.0,0.0,3.0,100.0,10.0
0.0,0.0,1.0,0.0,3.0,1000.0,22.0
0.0,0.0,1.0,0.0,3.0,10000.0,26.0
0.0,0.0,1.0,0.0,3.0,100000.0,36.0
0.0,0.0,1.0,0.0,4.0,100.0,11.0
0.0,0.0,1.0,0.0,4.0,1000.0,24.0
0.0,0.0,1.0,0.0,4.0,10000.0,36.0
0.0,0.0,1.0,0.0,4.0,100000.0,115.0
0.0,0.0,1.0,0.0,5.0,100.0,11.0
0.0,0.0,1.0,0.0,5.0,1000.0,25.0
0.0,0.0,1.0,0.0,5.0,10000.0,46.0
0.0,0.0,1.0,0.0,5.0,100000.0,351.0
0.0,0.0,0.0,1.0,2.0,100.0,11.0
0.0,0.0,0.0,1.0,2.0,1000.0,22.0
0.0,0.0,0.0,1.0,2.0,10000.0,24.0
0.0,0.0,0.0,1.0,2.0,100000.0,141.0
0.0,0.0,0.0,1.0,3.0,100.0,11.0
0.0,0.0,0.0,1.0,3.0,1000.0,24.0
0.0,0.0,0.0,1.0,3.0,10000.0,35.0
0.0,0.0,0.0,1.0,3.0,100000.0,275.0
0.0,0.0,0.0,1.0,4.0,100.0,11.0
0.0,0.0,0.0,1.0,4.0,1000.0,28.0
0.0,0.0,0.0,1.0,4.0,10000.0,50.0
0.0,0.0,0.0,1.0,4.0,100000.0,370.0
0.0,0.0,0.0,1.0,5.0,100.0,11.0
0.0,0.0,0.0,1.0,5.0,1000.0,28.0
0.0,0.0,0.0,1.0,5.0,10000.0,62.0
0.0,0.0,0.0,1.0,5.0,100000.0,549.0
